v8-version,11,3,244,8,-node.17,0
v8-platform,macos,macos
new,CodeRange,0x108b80000,0
new,MemoryChunk,0x3950c43c0000,262144
new,MemoryChunk,0x682b6ec0000,262144
new,MemoryChunk,0x9a87bd40000,262144
new,MemoryChunk,0x3a5882fc0000,262144
new,MemoryChunk,0x2a9fcdf00000,262144
heap-capacity,1030880
heap-available,4346312128
new,MemoryChunk,0x7fea1580000,262144
new,MemoryChunk,0x3076d5480000,278528
new,MemoryChunk,0x592b5300000,262144
new,MemoryChunk,0x24c866e00000,262144
new,MemoryChunk,0x2f44ee180000,262144
new,MemoryChunk,0x27033f980000,262144
new,MemoryChunk,0x25e2314c0000,262144
new,MemoryChunk,0x370f38d40000,262144
new,MemoryChunk,0x9ebcbdc0000,262144
new,MemoryChunk,0x6a94fd80000,262144
new,MemoryChunk,0xaece5080000,262144
new,MemoryChunk,0x108b80000,262144
new,MemoryChunk,0x334e4f200000,262144
new,MemoryChunk,0x2ec4e47c0000,262144
new,MemoryChunk,0x1af704940000,262144
new,MemoryChunk,0x3327f4c0000,262144
new,MemoryChunk,0xb377fc80000,262144
new,MemoryChunk,0x1c4b8d000000,262144
new,MemoryChunk,0x5bd8d7c0000,262144
new,MemoryChunk,0x920d9400000,262144
new,MemoryChunk,0x40e776c0000,262144
new,MemoryChunk,0x241ca4000000,262144
new,MemoryChunk,0x108bc0000,262144
new,MemoryChunk,0x1e438a380000,262144
new,MemoryChunk,0x279696900000,262144
new,MemoryChunk,0xb0ab9b80000,262144
new,MemoryChunk,0x2d73ad00000,262144
new,MemoryChunk,0x61833f80000,262144
new,MemoryChunk,0x7000000000,262144
new,MemoryChunk,0x27d87d440000,262144
new,MemoryChunk,0x13fefe6c0000,262144
new,MemoryChunk,0x1d27eb4c0000,262144
new,MemoryChunk,0x288129e40000,262144
new,MemoryChunk,0x22c136b40000,262144
new,MemoryChunk,0x27aabcf40000,262144
new,MemoryChunk,0x303c6cfc0000,262144
new,MemoryChunk,0x29c367500000,262144
new,MemoryChunk,0xb88e3b80000,262144
new,MemoryChunk,0x383b0ce40000,262144
new,MemoryChunk,0x12738f140000,262144
new,MemoryChunk,0x233883f40000,262144
new,MemoryChunk,0x29f544c40000,196608
new,MemoryChunk,0x2c7802040000,262144
new,MemoryChunk,0x149e7c480000,262144
new,MemoryChunk,0x1a47ca300000,262144
new,MemoryChunk,0x73b1d580000,262144
new,MemoryChunk,0x1ddc1fdc0000,262144
new,MemoryChunk,0x19886d600000,262144
new,MemoryChunk,0x1ced99c00000,262144
new,MemoryChunk,0x417f10c0000,262144
new,MemoryChunk,0x2501752c0000,262144
new,MemoryChunk,0x2903d2f00000,262144
new,MemoryChunk,0xfbc91d40000,262144
new,MemoryChunk,0xfd401780000,262144
new,MemoryChunk,0x232064280000,262144
new,MemoryChunk,0x10e691fc0000,262144
new,MemoryChunk,0x2fb575b80000,262144
new,MemoryChunk,0x15fa192c0000,262144
new,MemoryChunk,0x34f4b6400000,262144
new,MemoryChunk,0x17724ef00000,262144
new,MemoryChunk,0xdcb00dc0000,262144
new,MemoryChunk,0xebb38280000,262144
new,MemoryChunk,0x1706fad40000,262144
delete,MemoryChunk,0x29f544c40000
new,MemoryChunk,0x32f2cb480000,262144
new,MemoryChunk,0x7000040000,262144
new,MemoryChunk,0x31d4d1480000,262144
new,MemoryChunk,0x1127e20c0000,262144
new,MemoryChunk,0x469d6800000,262144
new,MemoryChunk,0x116ae6580000,262144
new,MemoryChunk,0x1513a3780000,196608
new,MemoryChunk,0x3bc61b40000,262144
new,MemoryChunk,0x10aafacc0000,262144
new,MemoryChunk,0x314b747c0000,262144
new,MemoryChunk,0x29a2186c0000,262144
new,MemoryChunk,0x337618b00000,262144
new,MemoryChunk,0x3667481c0000,262144
new,MemoryChunk,0x324019e80000,262144
new,MemoryChunk,0x108c00000,262144
new,MemoryChunk,0x2b97b1a40000,262144
new,MemoryChunk,0x613a27c0000,262144
new,MemoryChunk,0x309de3440000,262144
new,MemoryChunk,0x3eaf66c0000,262144
new,MemoryChunk,0x33358bb40000,262144
new,MemoryChunk,0x9fa3dec0000,262144
new,MemoryChunk,0x34b061100000,262144
new,MemoryChunk,0x6844f800000,262144
new,MemoryChunk,0x180a42840000,262144
new,MemoryChunk,0x2fd24f680000,262144
new,MemoryChunk,0x2df47800000,262144
new,MemoryChunk,0x1155ac140000,262144
new,MemoryChunk,0x216617e80000,262144
new,MemoryChunk,0x2dc28b600000,262144
new,MemoryChunk,0x458f1480000,262144
new,MemoryChunk,0x462f1940000,262144
new,MemoryChunk,0x5105e940000,262144
new,MemoryChunk,0x4b16b5c0000,262144
new,MemoryChunk,0x18d258740000,262144
new,MemoryChunk,0x19d4cd740000,262144
new,MemoryChunk,0x1cc349dc0000,262144
new,MemoryChunk,0x4901bbc0000,262144
new,MemoryChunk,0x2cbb848c0000,262144
new,MemoryChunk,0x3f7e0c80000,262144
new,MemoryChunk,0x29de5c3c0000,262144
new,MemoryChunk,0x52933280000,262144
new,MemoryChunk,0x241c8ff00000,262144
new,MemoryChunk,0x33e375140000,262144
new,MemoryChunk,0x370844800000,262144
new,MemoryChunk,0x8ea98440000,262144
new,MemoryChunk,0x1e091c500000,262144
new,MemoryChunk,0x1adc75580000,262144
new,MemoryChunk,0x320cb9f00000,262144
new,MemoryChunk,0x12e8c1300000,262144
new,MemoryChunk,0x283ac4f40000,262144
delete,MemoryChunk,0x1513a3780000
new,MemoryChunk,0x3228c6e40000,262144
new,MemoryChunk,0x272227f80000,262144
new,MemoryChunk,0x2468c7b00000,262144
new,MemoryChunk,0x108c40000,212992
new,MemoryChunk,0x108c80000,262144
new,MemoryChunk,0xb5c4fc40000,262144
new,MemoryChunk,0x108cc0000,262144
new,MemoryChunk,0x14eecd300000,262144
new,MemoryChunk,0x108d00000,262144
